Season	Episode	AirDate	Viewers	Product	Deal	GotDeal	Asking	DealTerms	Sharks	Investors
7	10	2015-12-04	6.16	glow recipe	YES	YES	$425k for 10%	$425k for 25%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Robert Herjavec
7	10	2015-12-04	6.16	leaux racing trikes	NO	NO	$120k for 20%	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	10	2015-12-04	6.16	sarah oliver handbags	YES	YES	$250k for 20%	$250k for 30%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Lori Greiner, Robert Herjavec and Kevin O'Leary
7	10	2015-12-04	6.16	trunkster	YES	YES	$1.4 million for 5%	$1.4 million each for 5% each	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Lori Greiner and Mark Cuban
7	11	2015-12-11	6	beard head	NO	NO	$250k for 25%	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	11	2015-12-11	6	geekmytree	YES	YES	$225k for 25%	$225k for 50%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Kevin O'Leary
7	11	2015-12-11	6	lovepop	YES	YES	$300k for 10%	$300k for 15%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Kevin O'Leary
7	11	2015-12-11	6	piperwai	YES	YES	$50k for 10%	$50k for 25%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Barbara Corcoran
7	12	2016-01-05	4.32	abs pancakes	YES	YES	$120k for 40%	$120k for 42%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Daymond John
7	12	2016-01-05	4.32	extreme sandbox	YES	YES	$150k for 15%	$150k for 20%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Mark Cuban and Kevin O'Leary
7	12	2016-01-05	4.32	fireavert	YES	YES	$300k for 7%	$300k loan for 5% interest until $400k repaid, then 10% equity	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Lori Greiner
7	12	2016-01-05	4.32	total tie keep	NO	NO	$50k for 15%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	13	2016-01-08	5.76	controlled chaos	YES	YES	$50k for 20%	$60k for 50%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Lori Greiner
7	13	2016-01-08	5.76	ezpz	YES	YES	$1 Million for 5%	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Kevin O'Leary
7	13	2016-01-08	5.76	hungry harvest	YES	YES	$50k for 5%	$100k for 10%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Robert Herjavec
7	13	2016-01-08	5.76	spretz	NO	NO	$100k for 20%	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	14	2016-01-15	5.64	beard king	YES	YES	$100K for 20%	$100K for 40%	Mark Cuban, Chris Sacca, Kevin O'Leary, Lori Greiner, Robert Herjavec	Lori Greiner
7	14	2016-01-15	5.64	fixed	YES	YES	$700K for 5%	$700K for 7%	Mark Cuban, Chris Sacca, Kevin O'Leary, Lori Greiner, Robert Herjavec	Mark Cuban
7	14	2016-01-15	5.64	hatch baby	YES	YES	$250K for 2.50%	$250K Loan for .25% interest	Mark Cuban, Chris Sacca, Kevin O'Leary, Lori Greiner, Robert Herjavec	Chris Sacca
7	14	2016-01-15	5.64	village scholarships	NO	NO	$125K for 10%	NA	Mark Cuban, Chris Sacca, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	15	2016-01-29	6.81	2400 expert	YES	YES	$250K for 10%	$250K for 20%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Mark Cuban
7	15	2016-01-29	6.81	co.alition	NO	NO	$200K for 20%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	15	2016-01-29	6.81	icybreeze	NO	NO	$50K for 5%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	15	2016-01-29	6.81	shefit	YES	YES	$250K for 20%	$250K for 33%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Daymond John
7	16	2016-02-05	6.14	beartek	NO	NO	$500K for 5%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	16	2016-02-05	6.14	combat flip flops	YES	YES	$150K for 10%	$300K for 30%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Daymond John, Lori Greiner, and Mark Cuban
7	16	2016-02-05	6.14	major mom	NO	NO	$150K for 20%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	16	2016-02-05	6.14	r. riveter	YES	YES	$100K for 20%	$100K for 20% + line of credit	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Mark Cuban
7	17	2016-02-12	6.73	bee free honee	YES	YES	$110K for 10%	$210K for 30%	Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Chris Sacca	Barbara, Mark, and Chris Sacca
7	17	2016-02-12	6.73	float baby	NO	NO	$150K for 20%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Chris Sacca	NA
7	17	2016-02-12	6.73	mtailor	NO	NO	$2.5M for 10%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Chris Sacca	NA
7	17	2016-02-12	6.73	smartplate	NO	NO	$1M for 15%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Chris Sacca	NA
7	18	2016-02-19	6.2	clean sleep	NO	NO	$1.5M for 15%	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	18	2016-02-19	6.2	nohbo	YES	YES	$100K for 20%	$100K for 25%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Mark Cuban
7	18	2016-02-19	6.2	sworkit	YES	YES	$1.5M for 8.5%	$1.5M for 10%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Mark Cuban
7	18	2016-02-19	6.2	tutublue	NO	NO	$200K for 25%	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	19	2016-02-21	4.02	custard stand food products	NO	NO	$400K for 10%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	19	2016-02-21	4.02	insta-fire	YES	YES	$300K for 10%	$300K for 30%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Mark Cuban, Lori Greiner
7	19	2016-02-21	4.02	prx performance	YES	YES	$80K for 10%	$80K for 20%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Kevin O'Leary
7	19	2016-02-21	4.02	rags to raches	YES	YES	$200K for 10%	$200K for 15%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Robert Herjavec
7	20	2016-02-26	5.45	betterback	YES	YES	$750K for 7.5%	$750K Loan for 7.5% interst + 8% equity	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Lori Greiner
7	20	2016-02-26	5.45	glace cryotherapy	YES	YES	$100K for 20%	$100K for 30%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Barbara Corcoran
